audio_path,reference,wer,wspr_hyp,wspr_prob,gtts_ll,gtts_prior,gtts_delta
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ022-0023.wav,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,0.0,the overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read,-9.785205841064451,8128.765625,-85885.359375,94014.125
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ005-0201.wav,as is shown by the report of the commissioners to inquire into the state of the municipal corporations in 1835,0.0,as is shown by the report of the commissioners to inquire into the state of the municipal corporations in 1835,-8.209773063659668,7198.9140625,-76971.84375,84170.7578125
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ005-0201.wav,as is shown by the report of the commissioners to inquire into the state of the municipal corporations in 1835,0.05,as is shown by the report of the commissioners to enquire into the state of the municipal corporations in 1835,-8.483234405517578,7378.6796875,-77019.6796875,84398.359375
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ001-0110.wav,even the caslon type when enlarged shows great shortcomings in this respect,0.0833333333333333,even the caslung type when enlarged shows great shortcomings in this respect,-8.019025802612305,6511.390625,-56793.625,63305.015625
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ001-0110.wav,even the caslon type when enlarged shows great shortcomings in this respect,0.1666666666666666,even the castle en type when enlarged shows great shortcomings in this respect,-10.596060752868652,5995.11328125,-56796.80078125,62791.9140625
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ001-0110.wav,even the caslon type when enlarged shows great shortcomings in this respect,0.25,even the caslung type when in large shows great shortcomings in this respect,-10.597715377807615,6093.84765625,-56979.25,63073.09765625
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ001-0110.wav,even the caslon type when enlarged shows great shortcomings in this respect,0.1666666666666666,even the cas lung type when enlarged shows great shortcomings in this respect,-10.810335159301758,6621.87890625,-56815.765625,63437.64453125
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ001-0110.wav,even the caslon type when enlarged shows great shortcomings in this respect,0.1666666666666666,even the castle in type when enlarged shows great shortcomings in this respect,-10.945075988769531,6368.68359375,-56791.21875,63159.90234375
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ001-0110.wav,even the caslon type when enlarged shows great shortcomings in this respect,0.0,even the caslon type when enlarged shows great shortcomings in this respect,-11.236740112304688,6286.2734375,-56748.9375,63035.2109375
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ003-0345.wav,all the committee could do in this respect was to throw the responsibility on others,0.0,all the committee could do in this respect was to throw the responsibility on others,-6.6141204833984375,6837.42578125,-53415.0625,60252.48828125
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ007-0154.wav,these pungent and well grounded strictures applied with still greater force to the unconvicted prisoner the man who came to the prison innocent and still uncontaminated,0.0,these pungent and well grounded strictures applied with still greater force to the unconvicted prisoner the man who came to the prison innocent and still uncontaminated,-9.022416114807127,11544.921875,-96210.3359375,107755.2578125
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ018-0098.wav,and recognized as one of the frequenters of the bogus law stationers his arrest led to that of others,0.0,and recognized as one of the frequenters of the bogus law stationers his arrest led to that of others,-11.63108253479004,8145.1328125,-69648.3828125,77793.515625
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ047-0044.wav,oswald was however willing to discuss his contacts with soviet authorities he denied having any involvement with soviet intelligence agencies,0.05,oswald was however willing to discuss his contacts with soviet authorities he denied having any involvement with soviet intelligence,-6.164278507232666,12992.6953125,-87871.21875,100863.9140625
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ047-0044.wav,oswald was however willing to discuss his contacts with soviet authorities he denied having any involvement with soviet intelligence agencies,0.05,ozworld was however willing to discuss his contacts with soviet authorities he denied having any involvement with soviet intelligence agencies,-9.400052070617676,13271.0703125,-87998.125,101269.1953125
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ047-0044.wav,oswald was however willing to discuss his contacts with soviet authorities he denied having any involvement with soviet intelligence agencies,0.0,oswald was however willing to discuss his contacts with soviet authorities he denied having any involvement with soviet intelligence agencies,-10.776411056518556,13022.7265625,-87932.546875,100955.2734375
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ047-0044.wav,oswald was however willing to discuss his contacts with soviet authorities he denied having any involvement with soviet intelligence agencies,0.1,oswald was however willing to discuss his contacts with soviet authorities he denied having any involvement with soviet,-13.136934280395508,12382.7109375,-87847.40625,100230.1171875
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ031-0038.wav,the 1st physician to see the president at parkland hospital was doctor charles j carrico a resident in general surgery,0.0,the 1st physician to see the president at parkland hospital was doctor charles j carrico a resident in general surgery,-7.948945045471191,11665.0,-73777.78125,85442.78125
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ031-0038.wav,the 1st physician to see the president at parkland hospital was doctor charles j carrico a resident in general surgery,0.05,the 1st physician to see the president at parkland hospital was doctor charles j carico a resident in general surgery,-8.198457717895508,12328.3671875,-73800.265625,86128.6328125
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ031-0038.wav,the 1st physician to see the president at parkland hospital was doctor charles j carrico a resident in general surgery,0.05,the 1st physician to see the president at parkland hospital was doctor charles j carroco a resident in general surgery,-8.358881950378418,11688.921875,-73859.2578125,85548.1796875
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ031-0038.wav,the 1st physician to see the president at parkland hospital was doctor charles j carrico a resident in general surgery,0.05,the 1st physician to see the president at parkland hospital was doctor charles j carreco a resident in general surgery,-8.477823257446289,11627.890625,-73789.765625,85417.65625
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ031-0038.wav,the 1st physician to see the president at parkland hospital was doctor charles j carrico a resident in general surgery,0.05,the 1st physician to see the president at parkland hospital was doctor charles j kerico a resident in general surgery,-9.493624687194824,12082.953125,-73888.9375,85971.890625
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ048-0194.wav,during the morning of november 22 prior to the motorcade,0.0,during the morning of november 22 prior to the motorcade,-4.757346630096436,6975.515625,-34186.7265625,41162.2421875
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ048-0194.wav,during the morning of november 22 prior to the motorcade,0.1,during the morning of november 22th prior to the motorcade,-8.503518104553223,6704.35546875,-34209.6484375,40914.00390625
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ049-0026.wav,on occasion the secret service has been permitted to have an agent riding in the passenger compartment with the president,0.0,on occasion the secret service has been permitted to have an agent riding in the passenger compartment with the president,-8.342618942260742,9929.5,-72632.015625,82561.515625
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ049-0026.wav,on occasion the secret service has been permitted to have an agent riding in the passenger compartment with the president,0.05,on occasion the secret service has been permitted to have an agent writing in the passenger compartment with the president,-9.148567199707031,10176.5625,-72605.046875,82781.609375
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ004-0152.wav,although at mister buxton is visit a new jail was in process of erection the 1st step towards reform since howard is visitation in 1774,0.08,although at mister buckston is visit a new jail was in process of erection the 1st step towards reforms since howard is visitation in 1774,-8.207300186157227,10665.1875,-95486.890625,106152.078125
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ004-0152.wav,although at mister buxton is visit a new jail was in process of erection the 1st step towards reform since howard is visitation in 1774,0.04,although at mister buxton is visit a new jail was in process of erection the 1st step towards reforms since howard is visitation in 1774,-8.760787010192871,10914.109375,-95460.546875,106374.65625
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ004-0152.wav,although at mister buxton is visit a new jail was in process of erection the 1st step towards reform since howard is visitation in 1774,0.08,although at mister buchton is visit a new jail was in process of erection the 1st step towards reforms since howard is visitation in 1774,-9.12963581085205,10409.5703125,-95443.7421875,105853.3125
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ008-0278.wav,or theirs might be one of many and it might be considered necessary to make an example,0.1176470588235294,or there is might be one of many and it might be considered necessary to make an example,-5.72052526473999,9009.98828125,-56378.44140625,65388.4296875
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ008-0278.wav,or theirs might be one of many and it might be considered necessary to make an example,0.0588235294117647,or there might be one of many and it might be considered necessary to make an example,-7.24325704574585,8724.3359375,-56407.359375,65131.6953125
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ043-0002.wav,the warren commission report by the president is commission on the assassination of president kennedy chapter 7 lee harvey oswald,0.0,the warren commission report by the president is commission on the assassination of president kennedy chapter 7 lee harvey oswald,-11.466289520263672,9096.375,-86571.3125,95667.6875
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ043-0002.wav,the warren commission report by the president is commission on the assassination of president kennedy chapter 7 lee harvey oswald,0.05,the warren commission report by the president is commission on the assassination of president kennedy chapter 7 lee harvey osborne,-15.802227020263672,9178.6875,-86241.84375,95420.53125
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ043-0002.wav,the warren commission report by the president is commission on the assassination of president kennedy chapter 7 lee harvey oswald,0.05,the warren commission report by the president is commission on the assassination of president kennedy chapter 7 lee harvey os,-15.845195770263672,9262.9375,-86529.1875,95792.125
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ043-0002.wav,the warren commission report by the president is commission on the assassination of president kennedy chapter 7 lee harvey oswald,0.05,the warren commission report by the president is commission on the assassination of president kennedy chapter 7 lee harvey,-15.900997161865234,9010.640625,-86262.78125,95273.421875
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ043-0002.wav,the warren commission report by the president is commission on the assassination of president kennedy chapter 7 lee harvey oswald,0.05,the warren commission report by the president is commission on the assassination of president kennedy chapter 7 lee harvey 0,-16.669414520263672,9276.9375,-86564.390625,95841.328125
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ043-0002.wav,the warren commission report by the president is commission on the assassination of president kennedy chapter 7 lee harvey oswald,0.05,the warren commission report by the president is commission on the assassination of president kennedy chapter 7 lee harvey oz,-16.931133270263672,9513.9453125,-86520.828125,96034.7734375
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ043-0002.wav,the warren commission report by the president is commission on the assassination of president kennedy chapter 7 lee harvey oswald,0.05,the warren commission report by the president is commission on the assassination of president kennedy chapter 7 lee harvey a,-17.204570770263672,9318.2265625,-86594.3125,95912.5390625
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ009-0114.wav,mister wakefield winds up his graphic but somewhat sensational account by describing another religious service which may appropriately be inserted here,0.0,mister wakefield winds up his graphic but somewhat sensational account by describing another religious service which may appropriately be inserted here,-6.423344135284424,10074.7265625,-90778.796875,100853.5234375
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ028-0506.wav,a modern artist would have difficulty in doing such accurate work,0.0,a modern artist would have difficulty in doing such accurate work,-11.53827667236328,5286.18359375,-39922.4140625,45208.59765625
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ050-0168.wav,with the particular purposes of the agency involved the commission recognizes that this is a controversial area,0.0,with the particular purposes of the agency involved the commission recognizes that this is a controversial area,-14.498769760131836,10417.84375,-67179.484375,77597.328125
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ039-0223.wav,oswald is marine training in marksmanship his other rifle experience and his established familiarity with this particular weapon,0.1111111111111111,oswald is marine training in mark smanship his other rifle experience and his established familiarity with this particular weapon,-8.636833190917969,12405.0078125,-87655.6328125,100060.640625
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ039-0223.wav,oswald is marine training in marksmanship his other rifle experience and his established familiarity with this particular weapon,0.1111111111111111,oswald is marine training in marc smanship his other rifle experience and his established familiarity with this particular weapon,-9.38416576385498,13173.2734375,-87642.4140625,100815.6875
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ039-0223.wav,oswald is marine training in marksmanship his other rifle experience and his established familiarity with this particular weapon,0.0,oswald is marine training in marksmanship his other rifle experience and his established familiarity with this particular weapon,-12.63373565673828,13227.9375,-87539.484375,100767.421875
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ029-0032.wav,according to 0 donnell quote we had a motorcade wherever we went end quote,0.0,according to 0 donnell quote we had a motorcade wherever we went end quote,-6.86228609085083,6978.453125,-51586.46875,58564.921875
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ031-0070.wav,doctor clark who most closely observed the head wound,0.0,doctor clark who most closely observed the head wound,-6.193395137786865,3745.91796875,-30588.9375,34334.85546875
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ031-0070.wav,doctor clark who most closely observed the head wound,0.2222222222222222,doctor clark who most closely observed the head will not,-6.659241676330566,3413.15234375,-30635.453125,34048.60546875
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ031-0070.wav,doctor clark who most closely observed the head wound,0.2222222222222222,doctor clark who most closely observed the headwound,-7.313102722167969,3536.373046875,-30530.802734375,34067.17578125
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ031-0070.wav,doctor clark who most closely observed the head wound,0.2222222222222222,doctor clark who most closely observed the headwond,-8.385250091552734,3839.203125,-30554.375,34393.578125
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ031-0070.wav,doctor clark who most closely observed the head wound,0.1111111111111111,doctor klark who most closely observed the head wound,-8.393688201904297,3524.5546875,-30536.4140625,34060.96875
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ031-0070.wav,doctor clark who most closely observed the head wound,0.1111111111111111,doctor clarke who most closely observed the head wound,-8.554888725280762,3459.78125,-30587.046875,34046.828125
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ031-0070.wav,doctor clark who most closely observed the head wound,0.3333333333333333,doctor clarke who most closely observed the head will not,-8.966272354125977,3574.3125,-30629.30078125,34203.61328125
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ031-0070.wav,doctor clark who most closely observed the head wound,0.1111111111111111,doctor clark who most closely observed the head wound .,-9.052770614624023,3583.470703125,-30610.384765625,34193.85546875
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ031-0070.wav,doctor clark who most closely observed the head wound,0.1111111111111111,doctor clark who most closely observe the head wound,-9.195592880249023,3619.28125,-30579.171875,34198.453125
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ034-0198.wav,euins who was on the southwest corner of elm and houston streets testified that he could not describe the man he saw in the window,0.12,euens who was on the southwest corner of elleman houston streets testified that he could not describe the man he saw in the window,-13.256547927856444,10836.4140625,-82385.0,93221.4140625
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ034-0198.wav,euins who was on the southwest corner of elm and houston streets testified that he could not describe the man he saw in the window,0.2,uns who was on the south west corner of elman houston streets testified that he could not describe the man he saw in the window,-13.63980770111084,10140.265625,-82488.125,92628.390625
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ026-0068.wav,energy enters the plant to a small extent,0.0,energy enters the plant to a small extent,-7.088480949401856,4419.333984375,-28519.587890625,32938.921875
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ026-0068.wav,energy enters the plant to a small extent,0.125,the energy enters the plant to a small extent,-8.660087585449219,3995.33203125,-28525.88671875,32521.21875
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ039-0075.wav,once you know that you must put the crosshairs on the target and that is all that is necessary,0.0,once you know that you must put the crosshairs on the target and that is all that is necessary,-9.317216873168944,8077.68359375,-49190.765625,57268.44921875
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ004-0096.wav,the fatal consequences whereof might be prevented if the justices of the peace were duly authorized,0.1875,the fatal consequences we are of might be prevented if the justices of the peace were duly authorized,-11.445581436157228,4151.8125,-57399.328125,61551.140625
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ004-0096.wav,the fatal consequences whereof might be prevented if the justices of the peace were duly authorized,0.25,the fatal consequences we are of might be prevented if the justices of the piece were duly authorized,-13.420133590698242,3912.4453125,-57438.3125,61350.7578125
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ005-0014.wav,speaking on a debate on prison matters he declared that,0.0,speaking on a debate on prison matters he declared that,-8.2221040725708,5190.6640625,-38145.41015625,43336.07421875
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ012-0161.wav,he was reported to have fallen away to a shadow,0.0,he was reported to have fallen away to a shadow,-8.63557243347168,3651.3046875,-29177.44140625,32828.74609375
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ018-0239.wav,his disappearance gave color and substance to evil reports already in circulation that the will and conveyance above referred to,0.0,his disappearance gave color and substance to evil reports already in circulation that the will and conveyance above referred to,-9.310312271118164,13732.8984375,-84404.90625,98137.8046875
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ019-0257.wav,here the tread wheel was in use there cellular cranks or hard labor machines,0.0,here the tread wheel was in use there cellular cranks or hard labor machines,-8.856290817260742,7084.171875,-65921.09375,73005.265625
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ019-0257.wav,here the tread wheel was in use there cellular cranks or hard labor machines,0.1428571428571428,here the treadwheel was in use there cellular cranks or hard labor machines,-8.94031810760498,6439.703125,-66075.828125,72515.53125
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ028-0008.wav,you tap gently with your heel upon the shoulder of the dromedary to urge her on,0.0625,you tap gently with your heel upon the shoulder of the dramatary to urge her on,-9.29164695739746,6117.0859375,-44951.08984375,51068.17578125
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ028-0008.wav,you tap gently with your heel upon the shoulder of the dromedary to urge her on,0.0,you tap gently with your heel upon the shoulder of the dromedary to urge her on,-10.588266372680664,6161.18359375,-44985.83203125,51147.015625
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ028-0008.wav,you tap gently with your heel upon the shoulder of the dromedary to urge her on,0.125,you tap gently with your heel upon the shoulder of the drama dairy to urge her on,-11.24323272705078,6379.12109375,-44960.25,51339.37109375
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ024-0083.wav,this plan of mine is no attack on the court,0.0,this plan of mine is no attack on the court,-12.233495712280272,4116.41796875,-31588.4296875,35704.84765625
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ024-0083.wav,this plan of mine is no attack on the court,0.1,this plan of mine is no attack on the court thank,-12.675579071044922,4211.3046875,-31555.66015625,35766.96484375
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ024-0083.wav,this plan of mine is no attack on the court,0.1,this plan of mine is no attack on the court .,-12.844388961791992,4538.12109375,-31588.76953125,36126.890625
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ024-0083.wav,this plan of mine is no attack on the court,0.1,this plan of mine is no attack on the court the,-12.996828079223633,4434.2578125,-31509.09765625,35943.35546875
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ024-0083.wav,this plan of mine is no attack on the court,0.1,this plan of mine is no attack on the court mus,-13.364429473876951,4439.7265625,-31508.91015625,35948.63671875
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ024-0083.wav,this plan of mine is no attack on the court,0.1,this plan of mine is no attack on the court thanks,-13.516429901123049,4597.462890625,-31575.572265625,36173.03515625
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ024-0083.wav,this plan of mine is no attack on the court,0.1,this plan of mine is no attack on the court i,-13.652141571044922,4630.77734375,-31477.41015625,36108.1875
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ024-0083.wav,this plan of mine is no attack on the court,0.1,this plan of mine is no attack on the court this,-13.675206184387209,4086.130859375,-31548.728515625,35634.859375
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ024-0083.wav,this plan of mine is no attack on the court,0.1,this plan of mine is no attack on the court you,-13.856203079223633,4204.7265625,-31475.91796875,35680.64453125
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ024-0083.wav,this plan of mine is no attack on the court,0.1,this plan of mine is no attack on the court a,-13.949016571044922,4088.98828125,-31567.90625,35656.89453125
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ024-0083.wav,this plan of mine is no attack on the court,0.1,this plan of mine is no attack on the court m,-13.992992401123049,4185.03125,-31519.72265625,35704.75390625
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ042-0129.wav,no night clubs or bowling alleys no places of recreation except the trade union dances i have had enough,0.1052631578947368,no nightclubs or bowling alleys no places of recreation except the trade union dances i have had enough,-6.853834629058838,12467.5546875,-84870.78125,97338.3359375
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ042-0129.wav,no night clubs or bowling alleys no places of recreation except the trade union dances i have had enough,0.1578947368421052,no nightclubs or bowling alleys no places of recreation except the trade union dances i have had enough .,-14.32258415222168,12542.359375,-84909.46875,97451.828125
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ036-0103.wav,the police asked him whether he could pick out his passenger from the lineup,0.1428571428571428,the police asked him whether he could pick out his passenger from the line up,-7.004844665527344,6500.6171875,-38336.4453125,44837.0625
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ036-0103.wav,the police asked him whether he could pick out his passenger from the lineup,0.0,the police asked him whether he could pick out his passenger from the lineup,-8.986586570739746,6404.015625,-38354.9140625,44758.9296875
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ046-0058.wav,during his presidency franklin d roosevelt made almost 400 journeys and traveled more than 350000 miles,0.0,during his presidency franklin d roosevelt made almost 400 journeys and traveled more than 350000 miles,-6.724926948547363,12984.875,-90035.6796875,103020.5546875
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ046-0058.wav,during his presidency franklin d roosevelt made almost 400 journeys and traveled more than 350000 miles,0.0625,during his presidency franklin d roosevelt made almost 400 journies and traveled more than 350000 miles,-9.516733169555664,13266.7265625,-90042.84375,103309.5703125
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ014-0076.wav,he was seen afterwards smoking and talking with his hosts in their back parlor and never seen again alive,0.0,he was seen afterwards smoking and talking with his hosts in their back parlor and never seen again alive,-9.395751953125,9800.015625,-68443.5078125,78243.5234375
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ014-0076.wav,he was seen afterwards smoking and talking with his hosts in their back parlor and never seen again alive,0.0526315789473684,he was seen afterward smoking and talking with his hosts in their back parlor and never seen again alive,-9.764593124389648,10160.5625,-68484.6953125,78645.2578125
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ002-0043.wav,long narrow rooms 136 feet 623 feet and the 8th 18,0.3636363636363636,long narrow rooms one 36 feet 6 23 feet and the 8th 18,-5.202911853790283,8015.3828125,-74053.4375,82068.8203125
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ002-0043.wav,long narrow rooms 136 feet 623 feet and the 8th 18,0.1818181818181818,long narrow rooms one.36 feet 6.23 feet and the 8th 18,-6.613677024841309,8010.28125,-73963.1171875,81973.3984375
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ002-0043.wav,long narrow rooms 136 feet 623 feet and the 8th 18,0.0,long narrow rooms 136 feet 623 feet and the 8th 18,-7.813097953796387,8154.6796875,-73943.3125,82097.9921875
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ002-0043.wav,long narrow rooms 136 feet 623 feet and the 8th 18,0.4545454545454545,long narrow rooms one 36 feet 6 23 feet and the 8 18,-8.394871711730957,7750.65625,-74028.703125,81779.359375
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ002-0043.wav,long narrow rooms 136 feet 623 feet and the 8th 18,0.3636363636363636,long narrow rooms one.36 feet 6.23 feet and the 8.18,-8.595589637756348,7112.3828125,-73967.2734375,81079.65625
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ002-0043.wav,long narrow rooms 136 feet 623 feet and the 8th 18,0.5454545454545454,long narrow rooms one 36 ft 6 23 ft and the 8th 18,-8.610127449035645,7499.7265625,-73964.3046875,81464.03125
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ002-0043.wav,long narrow rooms 136 feet 623 feet and the 8th 18,0.4545454545454545,long narrow rooms one 36 feet 6 23 feet and the 8th 18th,-8.984161376953125,7655.1875,-74049.984375,81705.171875
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ002-0043.wav,long narrow rooms 136 feet 623 feet and the 8th 18,0.0909090909090909,long narrow rooms 136 feet 623 feet and the 8th,-9.533453941345217,6959.109375,-73995.6171875,80954.7265625
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ009-0076.wav,we come to the sermon,0.0,we come to the sermon,-5.485053062438965,1682.6533203125,-13639.0595703125,15321.712890625
/fastdata/acq22mc/data/LJSpeech-1.1/wavs/LJ017-0131.wav,even when the high sheriff had told him there was no possibility of a reprieve and within a few hours of execution,0.0,even when the high sheriff had told him there was no possibility of a reprieve and within a few hours of execution,-5.668371200561523,11256.8359375,-69590.890625,80847.7265625
